[2019-03-01T19:39:09.326] [INFO] default - [::1 GET / 304 28ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T19:39:09.363] [INFO] default - [::1 GET /css/style.css 304 7ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T19:39:09.367] [INFO] default - [::1 GET /js/jquery.min.js 304 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T19:39:09.367] [INFO] default - [::1 GET /js/index.js 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T19:39:09.403] [INFO] default - [::1 GET /slider-2.jpg 304 0ms][http://localhost:3000/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T19:39:10.047] [INFO] default - [::1 GET /favicon.ico 404 3ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:11.876] [INFO] default - [::1 GET / 304 6ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:11.899] [INFO] default - [::1 GET /css/style.css 304 3ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:11.900] [INFO] default - [::1 GET /js/jquery.min.js 304 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:11.901] [INFO] default - [::1 GET /js/index.js 304 3ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:11.930] [INFO] default - [::1 GET /slider-2.jpg 304 0ms][http://localhost:3000/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:45.803] [INFO] default - [::1 GET / 304 7ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:45.842] [INFO] default - [::1 GET /css/style.css 304 3ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:45.844] [INFO] default - [::1 GET /js/jquery.min.js 304 4ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:45.845] [INFO] default - [::1 GET /js/index.js 304 3ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:45.847] [INFO] default - [::1 GET /slider-2.jpg 304 1ms][http://localhost:3000/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:48.577] [INFO] default - [::1 GET /css/style.css 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:48.614] [INFO] default - [::1 GET /js/jquery.min.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:55.657] [INFO] default - [::1 POST /Login 200 1735ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:55.687] [INFO] default - [::1 GET / 200 25ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:55.719] [INFO] default - [::1 GET /layui/css/layui.css 200 10ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:55.724] [INFO] default - [::1 GET /css/order.css 200 12ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-03-01T20:01:55.724] [INFO] default - [::1 GET /jquery-weui/dist/lib/weui.min.css 200 12ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
