[2018-08-21T21:58:36.908] [INFO] default - [::1 GET /jquery/jquery.min.js 200 5ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-21T21:58:36.909] [INFO] default - [::1 GET /javascript/function.js 200 4ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-21T21:58:36.910] [INFO] default - [::1 GET /jquery-weui/dist/js/jquery-weui.min.js 200 5ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-21T21:58:36.934] [INFO] default - [::1 GET /layui/lay/modules/layer.js 200 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-21T21:58:36.939] [INFO] default - [::1 GET /layui/css/modules/layer/default/layer.css?v=3.1.1 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-21T21:58:36.940] [INFO] default - [::1 GET /layui/lay/modules/form.js 200 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-21T21:58:36.947] [INFO] default - [::1 GET /layui/css/modules/layer/default/loading-2.gif 200 2ms][http://localhost:3000/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-21T21:58:36.954] [INFO] default - [::1 GET /javascript/index1.js?_=1534859916923 200 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-21T21:58:36.960] [INFO] default - [::1 GET /javascript/order.js?_=1534859916924 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-21T21:58:36.966] [INFO] default - [::1 GET /javascript/sales.js?_=1534859916925 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
