[2018-08-23T00:00:41.094] [INFO] default - [::1 GET /javascript/saleslist.js?_=1534953641017 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-23T00:00:41.103] [INFO] default - [::1 GET /javascript/saleslist_goods.js?_=1534953641018 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-23T00:00:41.109] [INFO] default - [::1 GET /javascript/productList.js?_=1534953641019 200 0ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-23T00:00:41.113] [INFO] default - [::1 GET /javascript/selectCustomer.js?_=1534953641020 200 0ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-23T00:00:41.119] [INFO] default - [::1 GET /javascript/productDetail.js?_=1534953641021 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-23T00:00:41.124] [INFO] default - [::1 GET /javascript/tuihuo_productList.js?_=1534953641022 200 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-23T00:00:41.128] [INFO] default - [::1 GET /javascript/tuihuo_saleslist_goods.js?_=1534953641023 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-23T00:00:41.133] [INFO] default - [::1 GET /javascript/tuihuo_selectcustomer.js?_=1534953641024 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-23T00:00:41.137] [INFO] default - [::1 GET /javascript/tuihuo_salelist.js?_=1534953641025 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-23T00:00:41.141] [INFO] default - [::1 GET /javascript/addApplicationGoods_detail.js?_=1534953641026 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
