[2018-08-08T20:23:08.927] [INFO] default - [::1 GET / 200 22ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:23:08.946] [INFO] default - [::1 GET /css/style.css 304 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:23:08.961] [INFO] default - [::1 GET /js/index.js 304 0ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:23:08.963] [INFO] default - [::1 GET /js/jquery.min.js 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:23:08.964] [INFO] default - [::1 GET /slider-2.jpg 304 1ms][http://localhost:3000/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:23:09.456] [INFO] default - [::1 GET /favicon.ico 404 8ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:23:39.204] [INFO] default - [::1 GET / 304 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:23:39.210] [INFO] default - [::1 GET /css/style.css 304 0ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:23:39.222] [INFO] default - [::1 GET /js/jquery.min.js 304 8ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:23:39.223] [INFO] default - [::1 GET /js/index.js 304 8ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:23:39.224] [INFO] default - [::1 GET /slider-2.jpg 304 0ms][http://localhost:3000/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:24:42.503] [INFO] default - [::1 GET / 304 3ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:24:42.513] [INFO] default - [::1 GET /css/style.css 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:24:42.520] [INFO] default - [::1 GET /js/jquery.min.js 304 5ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:24:42.521] [INFO] default - [::1 GET /js/index.js 304 6ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:24:42.524] [INFO] default - [::1 GET /slider-2.jpg 304 0ms][http://localhost:3000/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:25:03.968] [INFO] default - [::1 GET / 304 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:25:03.975] [INFO] default - [::1 GET /css/style.css 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:25:03.979] [INFO] default - [::1 GET /js/jquery.min.js 304 0ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:25:03.979] [INFO] default - [::1 GET /js/index.js 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:25:03.996] [INFO] default - [::1 GET /slider-2.jpg 304 1ms][http://localhost:3000/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:25:12.825] [INFO] default - [::1 GET / 304 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:25:12.831] [INFO] default - [::1 GET /css/style.css 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:25:12.835] [INFO] default - [::1 GET /js/jquery.min.js 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:25:12.836] [INFO] default - [::1 GET /js/index.js 304 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:25:12.838] [INFO] default - [::1 GET /slider-2.jpg 304 1ms][http://localhost:3000/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:25:29.067] [INFO] default - [::1 GET / 304 19ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:25:29.076] [INFO] default - [::1 GET /css/style.css 304 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:25:29.080] [INFO] default - [::1 GET /js/jquery.min.js 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:25:29.081] [INFO] default - [::1 GET /js/index.js 304 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:25:29.082] [INFO] default - [::1 GET /slider-2.jpg 304 0ms][http://localhost:3000/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:27:27.586] [INFO] default - [::ffff:127.0.0.1 GET / 304 6ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:27:27.593] [INFO] default - [::ffff:127.0.0.1 GET /css/style.css 304 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:27:27.596] [INFO] default - [::ffff:127.0.0.1 GET /js/jquery.min.js 304 0ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:27:27.600] [INFO] default - [::1 GET /js/index.js 304 0ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:27:27.608] [INFO] default - [::1 GET /slider-2.jpg 304 0ms][http://localhost:3000/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:27:48.312] [INFO] default - [::1 GET / 304 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:27:48.319] [INFO] default - [::1 GET /css/style.css 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:27:48.330] [INFO] default - [::1 GET /js/jquery.min.js 304 8ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:27:48.331] [INFO] default - [::1 GET /js/index.js 304 8ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:27:48.339] [INFO] default - [::1 GET /slider-2.jpg 304 1ms][http://localhost:3000/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:28:00.789] [INFO] default - [::ffff:127.0.0.1 GET / 304 6ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:28:00.803] [INFO] default - [::ffff:127.0.0.1 GET /css/style.css 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:28:00.809] [INFO] default - [::ffff:127.0.0.1 GET /js/jquery.min.js 304 0ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:28:00.810] [INFO] default - [::1 GET /js/index.js 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:28:00.818] [INFO] default - [::1 GET /slider-2.jpg 304 0ms][http://localhost:3000/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:36:30.020] [INFO] default - [::1 GET / 200 11ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:36:30.035] [INFO] default - [::1 GET /css/style.css 304 3ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:36:30.051] [INFO] default - [::1 GET /js/jquery.min.js 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:36:30.051] [INFO] default - [::1 GET /js/index.js 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:36:30.093] [INFO] default - [::1 GET /slider-2.jpg 304 1ms][http://localhost:3000/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:36:51.926] [INFO] default - [::1 POST /Login 200 763ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:36:55.262] [INFO] default - [::1 GET / 304 4ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:36:55.270] [INFO] default - [::1 GET /css/style.css 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:36:55.275] [INFO] default - [::1 GET /js/jquery.min.js 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:36:55.276] [INFO] default - [::ffff:127.0.0.1 GET /js/index.js 304 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:36:55.278] [INFO] default - [::1 GET /slider-2.jpg 304 1ms][http://localhost:3000/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:36:58.120] [INFO] default - [::1 POST /Login 200 578ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:36:59.506] [INFO] default - [::1 GET / 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:36:59.514] [INFO] default - [::1 GET /css/style.css 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[2018-08-08T20:36:59.519] [INFO] default - [::1 GET /js/jquery.min.js 304 0ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
